link,date,time,stacks P1,stacks P2,final percent,final stacks,barrier applications,total barrier,downstates
https://dps.report/T2uy-20240328-220646_cerus,2024.03.28,22:06:46,1,5,37.52,6,13,1108315,2
https://dps.report/m0Fw-20240328-221726_cerus,2024.03.28,22:17:26,0,3,6.9,53,43,4254161,10
https://dps.report/B07G-20240328-222800_cerus,2024.03.28,22:28:00,5,7,26.97,25,16,2705864,2
https://dps.report/Mgi0-20240328-222817_cerus,2024.03.28,22:28:17,,,100.0,0,0,0,0
https://dps.report/sYKr-20240328-223206_cerus,2024.03.28,22:32:06,,,84.47,9,4,544062,1
https://dps.report/deVk-20240328-223837_cerus,2024.03.28,22:38:37,0,0,35.03,0,0,20160,0
https://dps.report/EbL5-20240330-151525_cerus,2024.03.30,15:15:25,1,6,10.36,73,38,4658575,12
https://dps.report/HHFt-20240330-152422_cerus,2024.03.30,15:24:22,0,7,28.29,32,17,2738535,3
https://dps.report/H0ws-20240330-153128_cerus,2024.03.30,15:31:28,0,8,35.23,23,3,221889,1
https://dps.report/g1Sa-20240330-153816_cerus,2024.03.30,15:38:16,0,0,37.24,10,16,581469,1
https://dps.report/QhBQ-20240330-154247_cerus,2024.03.30,15:42:47,0,,54.9,15,2,40320,0
https://dps.report/D3WB-20240330-154453_cerus,2024.03.30,15:44:53,,,89.05,0,0,0,0
https://dps.report/7NK8-20240330-155150_cerus,2024.03.30,15:51:50,1,5,35.56,33,10,1977639,3
https://dps.report/KG6p-20240330-155323_cerus,2024.03.30,15:53:23,,,88.21,5,8,575302,0
https://dps.report/dpdh-20240330-160226_cerus,2024.03.30,16:02:26,3,1,17.68,47,18,2122426,4
https://dps.report/qkqx-20240330-161200_cerus,2024.03.30,16:12:00,0,3,16.93,26,13,1606266,2
https://dps.report/mHfv-20240330-161919_cerus,2024.03.30,16:19:19,1,1,35.56,2,1,330607,2
https://dps.report/dwkP-20240330-162816_cerus,2024.03.30,16:28:16,0,0,17.15,35,6,1995522,2
https://dps.report/JySc-20240330-163605_cerus,2024.03.30,16:36:05,1,9,38.51,13,6,1841882,2
https://dps.report/sJzo-20240330-164353_cerus,2024.03.30,16:43:53,0,11,26.03,14,11,2021058,4
https://dps.report/S1oS-20240330-165056_cerus,2024.03.30,16:50:56,0,0,36.86,6,2,25966,1
https://dps.report/JsMc-20240330-165705_cerus,2024.03.30,16:57:05,0,,52.37,30,6,1588034,2
https://dps.report/g9v9-20240330-180424_cerus,2024.03.30,18:04:24,1,,78.43,6,2,7486,0
https://dps.report/EBDY-20240330-180602_cerus,2024.03.30,18:06:02,,,86.34,7,2,732809,0
https://dps.report/mEHL-20240330-181329_cerus,2024.03.30,18:13:29,1,2,25.7,5,9,1376891,1
https://dps.report/7mQc-20240330-182001_cerus,2024.03.30,18:20:01,0,5,38.18,5,9,541796,3
https://dps.report/77lH-20240330-182455_cerus,2024.03.30,18:24:55,0,,56.13,14,6,876993,1
https://dps.report/I302-20240330-183444_cerus,2024.03.30,18:34:44,0,0,11.8,47,31,4253721,7
https://dps.report/ZyCN-20240330-184147_cerus,2024.03.30,18:41:47,0,0,37.88,6,0,10080,1
https://dps.report/Jc7t-20240330-185031_cerus,2024.03.30,18:50:31,0,3,15.16,19,10,607355,1
https://dps.report/QgNr-20240330-185811_cerus,2024.03.30,18:58:11,0,2,27.28,18,19,1938741,5
https://dps.report/blyZ-20240330-190825_cerus,2024.03.30,19:08:25,0,1,11.95,61,18,3027751,13
https://dps.report/w69j-20240330-191553_cerus,2024.03.30,19:15:53,0,0,37.79,1,8,256296,2
https://dps.report/W8gf-20240330-192432_cerus,2024.03.30,19:24:32,2,2,17.63,19,18,2206348,3
https://dps.report/RY9v-20240330-193216_cerus,2024.03.30,19:32:16,0,8,25.86,40,17,1468316,3
https://dps.report/iKlM-20240330-194427_cerus,2024.03.30,19:44:27,2,1,20.58,21,23,3083551,2
https://dps.report/DGYb-20240330-195340_cerus,2024.03.30,19:53:40,0,2,25.55,18,5,654313,4
https://dps.report/HDKk-20240402-200714_cerus,2024.04.02,20:07:14,5,,55.27,15,3,249098,0
https://dps.report/KJ5O-20240402-201409_cerus,2024.04.02,20:14:09,1,18,36.9,23,5,1659691,1
https://dps.report/dwoT-20240402-202356_cerus,2024.04.02,20:23:56,0,8,22.98,52,20,6322818,12
https://dps.report/me3R-20240402-203147_cerus,2024.04.02,20:31:47,0,0,26.02,17,14,1753501,6
https://dps.report/D3YZ-20240402-203854_cerus,2024.04.02,20:38:54,0,0,34.53,6,4,285054,0
https://dps.report/G2WY-20240402-205047_cerus,2024.04.02,20:50:47,1,10,14.5,59,28,3529172,8
https://dps.report/JYXH-20240402-210627_cerus,2024.04.02,21:06:27,0,1,6.9,27,8,2199140,8
https://dps.report/I8To-20240402-211205_cerus,2024.04.02,21:12:05,2,,63.15,2,3,638010,1
https://dps.report/IFnK-20240402-212038_cerus,2024.04.02,21:20:38,5,0,20.29,11,5,1013243,1
https://dps.report/5dnq-20240402-212726_cerus,2024.04.02,21:27:26,0,1,36.91,16,4,790106,1
https://dps.report/cHzk-20240402-213829_cerus,2024.04.02,21:38:29,0,2,27.27,10,5,1336311,2
https://dps.report/02td-20240402-214448_cerus,2024.04.02,21:44:48,0,0,37.1,5,4,59820,0
https://dps.report/UyF8-20240402-215435_cerus,2024.04.02,21:54:35,0,1,9.77,50,26,2881247,9
https://dps.report/bciI-20240402-221145_cerus,2024.04.02,22:11:45,0,0,6.68,45,30,1112059,16
https://dps.report/RFic-20240402-222546_cerus,2024.04.02,22:25:46,1,5,16.05,14,26,2017055,5
https://dps.report/Ml36-20240402-223402_cerus,2024.04.02,22:34:02,1,7,28.27,28,10,2480778,6
https://dps.report/nE7j-20240402-224550_cerus,2024.04.02,22:45:50,0,2,8.11,44,33,4891856,6
https://dps.report/YvHu-20240402-225647_cerus,2024.04.02,22:56:47,0,8,6.56,36,9,2282342,1
